title	description	molecular subtype:ch1	patient id:ch1	istumor	seqdepth				
BC02_27	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	NA	1118				
BC02_28	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1173				
BC02_31	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1083				
BC02_33	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	NA	708				
BC02_34	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1143				
BC02_44	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	930				
BC02_47	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	873				
BC02_50	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1000				
BC02_51	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1239				
BC02_53	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1108				
BC02_54	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	936				
BC02_55	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1116				
BC02_58	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1199				
BC02_59	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	914				
BC02_60	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	938				
BC02_61	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1200				
BC02_62	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1225				
BC02_63	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	992				
BC02_64	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1397				
BC02_66	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	984				
BC02_67	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1418				
BC02_68	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1428				
BC02_70	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1294				
BC02_71	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1155				
BC02_73	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1172				
BC02_74	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1255				
BC02_75	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1202				
BC02_76	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1321				
BC02_79	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1360				
BC02_80	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	NA	1157				
BC02_81	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	989				
BC02_82	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1280				
BC02_83	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1126				
BC02_86	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1132				
BC02_88	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1148				
BC02_89	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	871				
BC02_90	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	985				
BC02_93	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1874				
BC02_94	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1130				
BC02_95	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1189				
BC02_96	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	940				
BC03_25	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1131				
BC03_53	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1372				
BC03_66	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1602				
BC03_85	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1538				
BC03LN_58	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1756				
BC03LN_74	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1715				
BC04_06	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	NA	1369				
BC04_14	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1299				
BC04_16	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1611				
BC04_22	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1259				
BC04_30	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1727				
BC04_35	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	1373				
BC04_62	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	1634				
BC04_72	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	1173				
BC05_01	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1263				
BC05_02	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1089				
BC05_04	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	700				
BC05_07	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1438				
BC05_08	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	855				
BC05_09	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1095				
BC05_12	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	711				
BC05_13	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1030				
BC05_16	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	980				
BC05_17	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1001				
BC05_18	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1051				
BC05_20	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1009				
BC05_21	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	852				
BC05_22	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	733				
BC05_23	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	938				
BC05_25	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	761				
BC05_26	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	799				
BC05_27	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	945				
BC05_28	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	901				
BC05_29	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	871				
BC05_30	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	801				
BC05_31	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1216				
BC05_32	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1184				
BC05_33	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1117				
BC05_34	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	806				
BC05_35	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1086				
BC05_36	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	973				
BC05_37	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	888				
BC05_38	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1023				
BC05_39	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	924				
BC05_40	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	NA	574				
BC05_41	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	939				
BC05_42	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	894				
BC05_43	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1093				
BC05_44	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	955				
BC05_45	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1151				
BC05_46	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1148				
BC05_47	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	965				
BC05_48	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1088				
BC05_49	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	944				
BC05_50	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	954				
BC05_52	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1030				
BC05_53	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1071				
BC05_55	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	905				
BC05_57	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	847				
BC05_59	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	981				
BC05_60	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	975				
BC05_61	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	985				
BC05_62	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1228				
BC05_63	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1049				
BC05_64	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	918				
BC05_68	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	970				
BC05_69	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	876				
BC05_70	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	942				
BC05_71	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1385				
BC05_72	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1701				
BC05_73	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1145				
BC05_74	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	nonTumor	841				
BC05_75	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1051				
BC05_77	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	779				
BC05_78	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	880				
BC05_79	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1227				
BC05_80	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1013				
BC05_81	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	794				
BC05_83	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	904				
BC05_84	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	954				
BC05_85	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	997				
BC05_86	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	915				
BC05_87	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	790				
BC05_88	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1058				
BC05_90	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	928				
BC05_91	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1128				
BC05_92	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1114				
BC05_93	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1359				
BC05_94	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	757				
BC05_95	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	824				
BC05_96	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC05	Tumor	1038				
BC06_04	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1297				
BC06_07	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	570				
BC06_08	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1362				
BC06_09	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1709				
BC06_10	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1242				
BC06_21	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1659				
BC06_22	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1350				
BC06_23	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1172				
BC06_25	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1269				
BC06_26	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1766				
BC06_27	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1199				
BC06_28	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1354				
BC06_29	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1215				
BC06_32	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1070				
BC06_39	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1478				
BC06_40	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1332				
BC06_43	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1332				
BC06_45	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1027				
BC06_49	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1398				
BC06_57	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1840				
BC06_58	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1642				
BC06_60	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1271				
BC06_61	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	nonTumor	1398				
BC06_62	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	NA	1686				
BC06_74	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC06	Tumor	1326				
BC07_07	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1166				
BC07_55	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1303				
BC07_58	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	940				
BC07LN_30	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1038				
BC07LN_90	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1514				
BC08_01	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	1361				
BC08_04	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	1222				
BC08_06	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	660				
BC08_08	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	767				
BC08_10	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	899				
BC08_12	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	NA	509				
BC08_22	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	835				
BC08_24	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	694				
BC08_27	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	1228				
BC08_31	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	1303				
BC08_33	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	742				
BC08_36	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	810				
BC08_48	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	956				
BC08_51	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	942				
BC08_54	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	1095				
BC08_56	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	848				
BC08_59	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	1053				
BC08_70	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	1662				
BC08_73	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	666				
BC08_83	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	688				
BC08_88	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	nonTumor	1343				
BC08_94	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	970				
BC08_95	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC08	Tumor	701				
BC09_02	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	NA	471				
BC09_05	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1224				
BC09_13	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1606				
BC09_19	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1790				
BC09_21	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1267				
BC09_25	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1463				
BC09_27	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	NA	812				
BC09_29	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1456				
BC09_31	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1602				
BC09_33	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1275				
BC09_34	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1819				
BC09_37	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1279				
BC09_42	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	781				
BC09_44	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1386				
BC09_45	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1175				
BC09_46	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1304				
BC09_48	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1075				
BC09_49	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	2220				
BC09_50	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1417				
BC09_53	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1265				
BC09_54	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	NA	786				
BC09_57	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1697				
BC09_64	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	2141				
BC09_65	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1091				
BC09_70	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1619				
BC09_83	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1387				
BC09_86	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1728				
BC09_92	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1241				
BC09_93	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC09	nonTumor	1413				
BC10_07	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	nonTumor	1681				
BC10_09	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1752				
BC10_16	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1419				
BC10_20	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	nonTumor	990				
BC10_27	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	NA	1227				
BC10_43	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	nonTumor	1537				
BC10_47	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1701				
BC10_54	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	2081				
BC10_58	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1132				
BC10_67	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	nonTumor	1323				
BC10_69	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1184				
BC10_73	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	939				
BC10_80	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1457				
BC10_81	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1234				
BC10_85	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1323				
BC10_95	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC10	Tumor	1315				
BC11_01	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1652				
BC11_04	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	887				
BC11_07	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1423				
BC11_28	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1014				
BC11_43	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	778				
BC11_56	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	940				
BC11_69	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	884				
BC11_70	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1029				
BC11_78	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1327				
BC11_81	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1441				
BC11_88	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC11	Tumor	1089				
