title	description	molecular subtype:ch1	patient id:ch1	istumor	seqdepth				
BC04_78	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1009				
BC04_82	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1030				
BC04_85	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1003				
BC04_86	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	901				
BC04_88	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1015				
BC04_89	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	859				
BC04_90	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	884				
BC04_91	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	913				
BC04_92	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1130				
BC04_93	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	920				
BC04_96	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	1299				
BC03_03	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	957				
BC03_06	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1174				
BC03_09	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1118				
BC03_11	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1218				
BC03_13	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1355				
BC03_16	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1205				
BC03_17	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1321				
BC03_19	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1321				
BC03_20	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1198				
BC03_21	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1081				
BC03_23	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1466				
BC03_24	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1500				
BC03_26	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1399				
BC03_28	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1333				
BC03_29	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1223				
BC03_35	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1293				
BC03_37	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1069				
BC03_41	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	996				
BC03_43	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	Tumor	1266				
BC03_45	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	NA	707				
BC03_50	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1135				
BC03_51	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	NA	1267				
BC03_57	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1143				
BC03_58	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	981				
BC03_60	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1163				
BC03_63	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	NA	1320				
BC03_78	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1350				
BC03_81	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1076				
BC03_86	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1300				
BC03_88	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	NA	1206				
BC03_92	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1182				
BC03_93	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1161				
BC03_94	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03	nonTumor	1197				
BC03LN_01	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1384				
BC03LN_04	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1103				
BC03LN_05	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1122				
BC03LN_06	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1250				
BC03LN_10	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1581				
BC03LN_11	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1363				
BC03LN_13	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1271				
BC03LN_14	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1147				
BC03LN_17	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1262				
BC03LN_19	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1232				
BC03LN_20	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1213				
BC03LN_21	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1009				
BC03LN_23	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1045				
BC03LN_25	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1108				
BC03LN_26	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1376				
BC03LN_27	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1253				
BC03LN_28	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1236				
BC03LN_31	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1252				
BC03LN_32	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1169				
BC03LN_34	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	878				
BC03LN_35	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	937				
BC03LN_37	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1338				
BC03LN_38	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1301				
BC03LN_42	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	974				
BC03LN_44	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1136				
BC03LN_47	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1032				
BC03LN_48	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1046				
BC03LN_49	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1374				
BC03LN_50	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1260				
BC03LN_51	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1134				
BC03LN_53	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1309				
BC03LN_56	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1283				
BC03LN_57	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1117				
BC03LN_61	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1384				
BC03LN_62	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1101				
BC03LN_63	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	891				
BC03LN_64	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1454				
BC03LN_65	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	900				
BC03LN_68	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1376				
BC03LN_69	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1110				
BC03LN_70	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	864				
BC03LN_71	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	798				
